RestaurantID,Name,Cuisine,Rating,NumberOfReviews,Address,ZipCode,Latitude,Longitude,IsClosed,InsertTime
ZgIfySJ3cnB1svoyJAiCzg,Buenos Aires,american,4,536,513 E 6th St,10009,40.7253150939941,-73.983039855957,False,05/03/2020 11:52:05
qOp4T7UxfL6MgO41dN3Qlg,Whitman's,american,4,628,406 E 9th St,10009,40.727942,-73.984469,False,05/03/2020 11:52:05
upaVTWhLsxcu1HXqN8iHVQ,Ladybird,american,4,284,111 East 7th St,10009,40.726769311104,-73.9847712789363,False,05/03/2020 11:52:05
2FPCMr1XpxwygeGhTZC86Q,Honeybee’s,american,4,67,95 Avenue A,10009,40.72563,-73.98403,False,05/03/2020 11:52:05
oLt7V8jK7dRiyvZuW0TW8Q,Cherry Tavern,american,3.5,121,441 E 6th St,10009,40.7258491516113,-73.9843063354492,False,05/03/2020 11:52:05
6qnWAPjJ7UER4QLCtotyBw,Amor y Amargo,american,4,465,443 E 6th St,10009,40.72572,-73.98428,False,05/03/2020 11:52:05
H1QphdrrsaB472y9HXi2Ow,Death & Co,american,4,1516,433 E 6th St,10009,40.72589,-73.9847,False,05/03/2020 11:52:05
J0toV5NSvtQ0gmfZtswTdw,The Hard Swallow,american,4.5,42,140 1st Ave,10009,40.7278,-73.9848,False,05/03/2020 11:52:05
0FaLilJs2VN83hOEBcBnPg,Au Za'atar,american,4,839,188 Avenue A,10009,40.728901,-73.981185,False,05/03/2020 11:52:05
J4Aji-XOfYXzqH9IV4NQqQ,7B Horseshoe Bar aka Vazacs,american,3.5,200,108 Ave B,10009,40.7250383471037,-73.9814463981875,False,05/03/2020 11:52:05
vtieqQ7cs6L5iSNJCQ9X-g,E 10th St Finest Deli,american,3,5,162 1st Ave,10009,40.72858,-73.98428,False,05/03/2020 11:52:05
rCpO-kMHljieU0geK0RJQw,Noreetuh,american,4,430,128 1st Ave,10009,40.727275,-73.985221,False,05/03/2020 11:52:05
ZCfqAtpASbibf_YaU1rIpw,The Grafton,american,4,78,126 1st Ave,10009,40.7271881103516,-73.9851989746094,False,05/03/2020 11:52:05
zX8IF7oCbw1HrNaPmOBy-g,FERNS,american,4.5,87,166 1st Ave,10009,40.72881,-73.98403,False,05/03/2020 11:52:05
WaUuOzaY7WnmBer2nTLPUQ,Mace,american,4.5,191,505 E 12th St,10009,40.729,-73.98087,False,05/03/2020 11:52:05
iBm8YTqNwrddsxWdqLPK-A,Caracas Arepa Bar,american,4,2552,91 E 7th St,10009,40.7269655,-73.9854223,False,05/03/2020 11:52:05
r271Tv2uqJtIcghCFRa8BQ,Haile Bistro,american,4.5,206,182 Ave B,10009,40.72783,-73.97951,False,05/03/2020 11:52:05
W9-YPGPv7tPAAwJqhJZPGQ,Auriga Cafe,american,4,9,198 Avenue A,10009,40.729192,-73.980916,False,05/03/2020 11:52:05
XpSVrJTLu9BFBy2_LFqIiA,Barfly NY,american,3.5,136,244 3rd Ave,10010,40.73717,-73.98459,False,05/03/2020 11:51:41
j1TePe2B6pjvvEg2VOLNcg,Gramercy Bagels,american,3,155,246 3rd Ave,10010,40.7371889,-73.9845285,False,05/03/2020 11:51:41
bWhupxuUj3LTu0aK3CuOtA,Gramercy Ale House,american,3.5,84,272 3rd Ave,10010,40.73797,-73.98413,False,05/03/2020 11:51:41
0iCISI2oP9bkS54hy68Xsw,Rolf's Bar & Restaurant,american,2.5,992,281 3rd Ave,10010,40.73803,-73.98353,False,05/03/2020 11:51:41
KSj9ZMk0A4Fruv0jCYREXg,Tivoli Cafe,american,3,104,283 3rd Ave,10010,40.738174,-73.983268,False,05/03/2020 11:51:41
kMxXLrASxsbmS-ZzAaBe-A,Molly's,american,4,508,287 3rd Ave,10010,40.73825,-73.98321,False,05/03/2020 11:51:41
5vCEslftA9kQwgjY7Wt0mA,Craft + Carry,american,4.5,29,284 3rd Ave,10010,40.7384,-73.98369,False,05/03/2020 11:51:41
63nYipWuA42RZmESBMUNkQ,The Bluebell Cafe,american,4,618,293 3rd Ave,10010,40.73845,-73.98321,False,05/03/2020 11:51:41
OL0tLwE5Er1JX2dtEjjerg,Rose Bar,american,3.5,339,2 Lexington Ave,10010,40.7385430411239,-73.985755,False,05/03/2020 11:51:41
