RestaurantID,Cuisine
D8cIy0bfj2VAs7PG9UyFTA,american
1leTPuX7hcmWMlJeHNpKvA,brunch
vSPKmk499CglpfJFuFvbvg,chinese
jrXu38IeCFhHAgR8tI7exg,american
B0IXsKwCk21hNQffYPJmHA,american
gmJEBBWAKD8zSfBIdJfrsA,healthy
0axnkZlDiQcJVc06DDXxGQ,healthy
lVifyWPmMDGxvlBD7QpGNA,healthy
PGeL1b4xNJggpZsHEGoxjg,chinese
0dG6Qqw0TZDYInWPOhDBGQ,healthy
O5S9rhY63YPGiQeUcn7PKA,italian
ONEe1U1fNGT80jAEE0sCrg,italian
4YeKYQoZHCx2xkbjmNhMbA,mexican
leI3BslJ5I2-IxXyRaRjPw,american
JnFV_qz7uWbLTY80K89J7Q,pizza
bCKWqv_YXZoS6_i9aQ3hqQ,american
EZo6MdrZ_EH_MzUl93xkyA,chinese
PZlofInZTZnp2jwL3L5sqw,healthy
6emR8SU0UlcKI2o-0yO7Wg,brunch
r8DIK2zoImcia1tx3L4s2g,pizza
Gg3heBdQQ9Wr03icYIaIQA,japanese
FxOt8Exq5CA5izlDPFPoUg,brunch
9jMek1KMCVXlRZJQWTCbxA,chinese
yY3HvT-G2-exg32D3hsKdQ,healthy
BxnrBKdLwdaEXyq97uxgKg,mexican
2SCqfZsvDYUyDsv-3d5BBA,italian
f_cPl8sxSbVxdEivg0DAFw,pizza
rK9XW6F5Hk6IZT1oJAFwtA,chinese
wDuf4Qz9qsC62amLZgWNJQ,chinese
w7zQ47EyJ6R7K_TEWZnInA,american
Zfo3GgtaJmfGb508cw6krw,brunch
EYSIZX7b6Sp6TNc_KNvn7Q,italian
KifkRh0gGD0voBw4FHFCVA,american
pNbrxyrG5d5QwRsKbu0cXg,chinese
wflQFYM4PHZM5sfWXl0aOQ,mexican
1nR3kKOs938gcgnw6p5wjg,mexican
N39iw9BiwCE0MEmbS8XMcA,mexican
S8KO9WmFfiuxmE_vJ7WhRQ,brunch
87C1A7TyutLNCZxBPCdWsQ,korean
8ycqs1LnAVKlAAZDX04z_A,healthy
V9jFJfuK3FzWCJGoY15EgQ,mexican
6p1hVVBEXd8jtRULoRUW5g,korean
puIJcBEaxcDgL6_WDZlq9w,mexican
kz9YaFCE1sGJ4CpLDKBIjQ,american
PrEAWCuFDAQqgbKGWv8c_g,american
pWq3YAKT4YCRxMjh7QniwA,healthy
6gDUVNZo0E9lxO2DkAhHOQ,american
gxvwxZWWSKNFMsVr10YAQg,chinese
3Rah-cvFk79duFQ83voQ5A,chinese
H4fS32597GN025rMM85W-g,brunch
77q5bM4bXA63BqGwN-Cy2Q,pizza
UnFe6mLcCdHVyyDxnIBkAA,indian
qBGKigOGn_flCx1apxPzlA,italian
WYhRkUATHRyXZrE55MArbA,italian
4IvzF466N4PFl4xf4ZOAGQ,korean
CDH1-WthtUziNm017IYo1A,healthy
eFS3e9ctodj4aBTzRv_vtQ,american
BgZHn_QmfcIdA527VnN_qQ,mexican
gCwbwgUkihSjK75EpzwWHQ,mexican
YMHxv6VFriKz1KevVXl0Cw,american
prQUP_jDq72ll8jf__TK_w,american
yy0E-rhiKzN2ASfDhHVsJg,american
Dqp5Itsj9dN0Ewz8Gm853g,chinese
39RVtjUnWPD2FTg_n_pEWg,pizza
3g_gJ6NBU4n9iUX-Zt6geQ,chinese
SXEnbcwgIcueFdvWtkAW-g,american
_gUAvmiTD5pPukKshL0NKg,pizza
5KDfEi17KRFD1TrzZyT4lQ,chinese
Be1Y-vAEMgo7lqL5alXgDA,italian
2u8T56A4qu-MjeuT-v7s_g,mexican
L1ev9Ercb039fhLVzhKJKA,japanese
xxK7eQqhVbH21lGlAc7RpA,healthy
N-rwVhnEtXg8yY_TlB_KZw,italian
vpkTNjq9dRh9rT3Nh0pe-A,pizza
IT8X2pHUih-pBMzMN9n7Rw,japanese
h881bFbXCIZdI99-mPOoyA,korean
O4fJTI3e11PsKwIOYGZkag,healthy
UNyGz06_7RendbswIyNYtA,chinese
wWgViDITxjQxdHmQyXsR_w,korean
sCC7-hSdCkNPExejZT9BAQ,indian
HGNqWrRYJNyhJSS8yia8HQ,indian
zxdsVR_hHUzhBFfus4yd7A,mexican
d-DQwNxs77Pah2ys0q7w1Q,american
cmUAEag_wLyh8LsHWJTpvQ,mexican
p9nYMrQbrPMzKBBBj73uFA,american
5q70zc3f21y58vYQAdOcPw,healthy
2eR8ftw-GiTEwg3Y7Rm-MA,chinese
BaFnszR6a7RwDGCEhzojKA,mexican
ZlwjT-jygnYqM5qDE0CuLQ,italian
fWX7sIzv_WTgZXdSwxYBPg,chinese
eXp_dxTX1aT-ErdFajIKXw,pizza
bh2vEW6hvVoyIH6Yo-5uFw,brunch
tnUiNpd0GF_urbB1NiFpzA,healthy
MFmSQBFgks_oECcNNea1pg,healthy
vWYUAjj2D1TbbhlB5-q9Fw,mexican
'-IhTjhyw-S9SD9j58mUTNA,american
XBWO26QblInZGftnSDD94A,american
gcEMZjjqy5Ucnv_5Pv-q1g,brunch
gXnC_aZR09BvqEQKGKFjBg,korean
Pda9zJfg0pRABp9krlJh3Q,mexican
RiV2e2jVOMAA8kNS1zlKBw,american
KLeh2Dpvz7DxuoN5p7dF3g,pizza
QwOXPf0qBy9OYi0KLbvMew,korean
GNHxMIsLGqoGKM7PtPsIHQ,healthy
ulxEmuT5JzhuxroTeQ9Ncg,pizza
AlI7c_m9flexz49nzgam2g,chinese
DY0y0KPwu8LnQteNB-uoAQ,american
5MDlm5mD7aH0_8FnELr82g,healthy
ogEtpbCgxv38PyB3ebivqQ,indian
5Ges1QFylBI1KCHjZ5EZDw,healthy
R18bhjYmKxpwfkwGFlWW2g,korean
bbSVzQG_vBlc7uKOT-IATQ,mexican
00J0yKkOuOxMhqt-Dg9daw,chinese
i10xF02Nwn5jA7x3_h4b_w,pizza
BbMUXd69i0tlWS2aoppwaQ,mexican
DQuwci5xgJxXx7dxxp9FBA,mexican
Lf6uC5s6B8HIYAy-t9Hcng,american
q3qdUSSnfxuvtD908HOmFA,healthy
rJzcSS1P_kBrEkx_re_K9A,pizza
ZCfqAtpASbibf_YaU1rIpw,american
